date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202107,male,partially_vaccinated,0,13,143024,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,male,not_vaccinated,22,112,4103997,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,male,unknown,19,156,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,unknown,fully_vaccinated,0,0,12,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,unknown,partially_vaccinated,0,0,60,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,female,fully_vaccinated,2,3,149231,1.34,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,female,partially_vaccinated,3,24,166249,1.8,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,female,not_vaccinated,7,91,4071908,0.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,female,unknown,15,178,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,male,fully_vaccinated,1,1,114814,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,male,partially_vaccinated,5,18,123661,4.04,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,male,not_vaccinated,12,124,4083492,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,male,unknown,18,174,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,unknown,fully_vaccinated,0,0,25,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
