date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-03-08,moderna,fully_vaccinated,0,0,159371,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-09,moderna,fully_vaccinated,0,0,169437,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-10,moderna,fully_vaccinated,0,0,178697,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-11,moderna,fully_vaccinated,0,0,188944,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-12,moderna,fully_vaccinated,0,0,197487,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-13,moderna,fully_vaccinated,0,0,199314,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-14,moderna,fully_vaccinated,0,0,199662,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-15,moderna,fully_vaccinated,0,0,206939,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-16,moderna,fully_vaccinated,0,0,215464,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-17,moderna,fully_vaccinated,0,0,224499,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-18,moderna,fully_vaccinated,0,0,233550,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-19,moderna,fully_vaccinated,0,0,241610,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-20,moderna,fully_vaccinated,0,0,243287,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-21,moderna,fully_vaccinated,0,0,243400,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-22,moderna,fully_vaccinated,0,0,250254,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-23,moderna,fully_vaccinated,0,0,257976,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-24,moderna,fully_vaccinated,0,0,265184,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-25,moderna,fully_vaccinated,0,0,273091,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-26,moderna,fully_vaccinated,0,0,279147,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-27,moderna,fully_vaccinated,0,0,280379,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-28,moderna,fully_vaccinated,0,0,280885,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-29,moderna,fully_vaccinated,0,0,286067,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-30,moderna,fully_vaccinated,0,0,290856,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-03-31,moderna,fully_vaccinated,0,0,297043,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-01,moderna,fully_vaccinated,0,0,304909,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-02,moderna,fully_vaccinated,0,0,306559,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
