nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d
all,CH,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202010,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-10,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-11,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-12,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-13,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-14,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-15,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-16,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-17,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-18,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-19,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-20,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-21,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202022,26342,206,26136,26342,0.8,NA,0.8,1,100,8670300,303.82,303.82,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-22,26342,303.82,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202023,25652,154,25498,51994,0.6,-0.20000000000000007,0.7,1,100,8670300,295.86,599.68,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-23,-690,-7.96,-2.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202024,35718,221,35497,87712,0.6,0,0.7,1,100,8670300,411.96,1011.64,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-24,10066,116.1,39.2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202025,48257,203,48054,135969,0.4,-0.19999999999999996,0.6,1,100,8670300,556.58,1568.22,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-25,12539,144.62,35.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202026,57314,393,56921,193283,0.7,0.29999999999999993,0.6,1,100,8670300,661.04,2229.25,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-26,9057,104.46,18.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202027,69895,751,69144,263178,1.1,0.40000000000000013,0.7,1,100,8670300,806.14,3035.4,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-27,12581,145.1,22,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202028,49434,766,48668,312612,1.5,0.3999999999999999,0.9,1,100,8670300,570.15,3605.55,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-28,-20461,-235.99,-29.3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202029,42569,841,41728,355181,2,0.5,1,1,100,8670300,490.97,4096.52,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-29,-6865,-79.18,-13.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202030,35529,921,34608,390710,2.6,0.6000000000000001,1.1,1,100,8670300,409.78,4506.3,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-30,-7040,-81.19,-16.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202031,37358,1311,36047,428068,3.5,0.8999999999999999,1.3,1,100,8670300,430.87,4937.18,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-31,1829,21.09,5.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202032,38689,1267,37422,466757,3.3,-0.20000000000000018,1.5,1,100,8670300,446.22,5383.4,COVID19Test,,2021-12-16_07-53-19,isoweek,2020-32,1331,15.35,3.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
