geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d,nachweismethode,type_variant
BS,202116,5880,429,5451,159776,1,100,7.3,0.5,6.9,196735,2988.79,81213.82,1415,719.24,0,31.7,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
FL,202116,1479,69,1410,37784,1,100,4.7,-0.39999999999999947,7.9,39055,3786.97,96745.62,18,46.09,0,1.2,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
FR,202116,3582,379,3203,161417,1,100,10.6,0.09999999999999964,16.2,325496,1100.47,49591.09,112,34.4,0,3.2,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
GE,202116,11419,1022,10397,477353,1,100,8.9,-0.40000000000000036,11.6,506343,2255.19,94274.63,-620,-122.45,0,-5.1,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
GL,202116,549,77,472,19247,1,100,14,-7.399999999999999,12,40851,1343.91,47115.13,106,259.48,0,23.9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
GR,202116,4027,290,3737,199396,1,100,7.2,1,5,200096,2012.53,99650.17,-772,-385.82,0,-16.1,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
JU,202116,695,98,597,38177,1,100,14.1,3.1999999999999993,14.4,73709,942.9,51794.22,-76,-103.11,0,-9.9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
LU,202116,3667,569,3098,179255,1,100,15.5,0,13.2,416347,880.76,43054.23,-273,-65.57,0,-6.9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
NE,202116,2579,252,2327,101450,1,100,9.8,0.5,14.1,175894,1466.22,57676.78,106,60.26,0,4.3,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
NW,202116,472,53,419,17631,1,100,11.2,-1.3000000000000007,11.4,43520,1084.56,40512.41,-16,-36.76,0,-3.3,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
OW,202116,511,66,445,14127,1,100,12.9,1.5,13.7,38108,1340.93,37070.96,-26,-68.22,0,-4.8,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
SG,202116,4673,767,3906,234728,1,100,16.4,5.599999999999998,13.8,514504,908.25,45622.19,-952,-185.04,0,-16.9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
SH,202116,871,81,790,36954,1,100,9.3,-0.7999999999999989,10.3,83107,1048.05,44465.57,-154,-185.3,0,-15,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
SO,202116,2991,371,2620,140283,1,100,12.4,-0.09999999999999964,10.7,277462,1077.99,50559.36,-414,-149.21,0,-12.2,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
SZ,202116,2280,287,1993,79652,1,100,12.6,1.5999999999999996,12.1,162157,1406.04,49120.3,267,164.65,0,13.3,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
TG,202116,2990,347,2643,122839,1,100,11.6,2.299999999999999,12,282909,1056.88,43419.97,-20,-7.07,0,-0.7,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
TI,202116,4846,455,4391,228233,1,100,9.4,1.0999999999999996,12.6,350986,1380.68,65026.24,-247,-70.38,0,-4.8,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
UR,202116,3290,228,3062,20774,1,100,6.9,-1.9000000000000004,12.9,36819,8935.6,56421.96,1304,3541.65,0,65.7,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
VD,202116,13222,1130,12092,568603,1,100,8.5,0.9000000000000004,11.4,814762,1622.81,69787.62,-783,-96.1,0,-5.6,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
VS,202116,6116,609,5507,192924,1,100,10,-2,15.8,348503,1754.93,55357.92,374,107.31,0,6.5,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
ZG,202116,2202,149,2053,93678,1,100,6.8,1.2999999999999998,7.3,128794,1709.71,72734.75,-853,-662.29,0,-27.9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
ZH,202116,30848,2512,28336,960954,1,100,8.1,-1.700000000000001,9.6,1553423,1985.81,61860.42,5642,363.2,0,22.4,COVID19Test,2021-12-16_07-53-19,isoweek,2021-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
AG,202117,4351,210,4141,97090,1,100,4.8,-0.40000000000000036,7.9,694072,626.88,13988.46,137,19.74,0,3.3,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
AI,202117,73,4,69,2185,1,100,5.5,-1.2000000000000002,8.8,16293,448.05,13410.67,-2,-12.27,0,-2.7,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
AR,202117,214,13,201,7918,1,100,6.1,-2.0999999999999996,11.8,55309,386.92,14315.93,-6,-10.85,0,-2.7,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
BE,202117,2926,137,2789,125506,1,100,4.7,-1.0999999999999996,6.3,1043132,280.5,12031.65,112,10.74,0,4,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
BL,202117,1114,32,1082,18199,1,100,2.9,-0.10000000000000009,16.2,290969,382.86,6254.62,34,11.69,0,3.1,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
BS,202117,983,18,965,19906,1,100,1.8,-0.5999999999999999,3.9,196735,499.66,10118.18,-136,-69.13,0,-12.2,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
