sex,nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d
female,all,TI,202148,5639,685,4954,244736,12.1,1.1999999999999993,8.5,0.547,54.7,180156,3130.07,135846.71,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,778,431.85,16,0.8999999999999986,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
female,all,UR,202148,3048,188,2860,59023,6.2,-0.2999999999999998,4.8,0.583,58.3,18051,16885.49,326979.11,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,444,2459.7,17.1,1.9000000000000057,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
female,all,VD,202148,18418,3318,15100,688698,18,1.8999999999999986,8.8,0.546,54.6,414545,4442.94,166133.47,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,4533,1093.48,32.6,-1.1000000000000014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
female,all,VS,202148,7227,1156,6071,242371,16,-0.3999999999999986,10.9,0.532,53.2,175548,4116.82,138065.37,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,1618,921.68,28.8,1.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
female,all,ZG,202148,2876,535,2341,122521,18.6,2.400000000000002,6.2,0.51,51,63567,4524.36,192743.09,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,68,106.97,2.4,-0.10000000000000142,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
female,all,ZH,202148,32677,5294,27383,1179975,16.2,-0.1999999999999993,8.2,0.514,51.4,779124,4194.07,151448.93,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,4408,565.76,15.6,-0.7000000000000028,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,AG,202148,9,0,9,346,0,-16.7,5.8,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,3,NA,50,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,AI,202148,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,0,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,AR,202148,0,0,NA,11,NA,NA,9.1,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,-1,NA,-100,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,BE,202148,73,2,71,1011,2.7,-4.3999999999999995,4.3,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,17,NA,30.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,BL,202148,37,1,36,488,2.7,-7.8,1.2,0.002,0.2,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,18,NA,94.7,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,BS,202148,127,3,124,1634,2.4,2.4,2.3,0.009,0.8999999999999999,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,111,NA,693.8,0.7999999999999999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,FL,202148,0,0,NA,4,NA,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,0,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,FR,202148,0,0,NA,61,NA,NA,8.2,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,-2,NA,-100,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,GE,202148,10,1,9,358,10,0,3.6,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,0,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,GL,202148,3,0,3,29,0,0,6.9,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,2,NA,200,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,GR,202148,13,3,10,86,23.1,6.400000000000002,8.1,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,7,NA,116.7,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,JU,202148,2,0,2,14,0,0,0,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,1,NA,100,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,LU,202148,15,0,15,678,0,0,1,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,5,NA,50,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,NE,202148,9,0,9,201,0,0,0.5,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,7,NA,350,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,NW,202148,0,0,NA,15,NA,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,0,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,OW,202148,0,0,NA,5,NA,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,0,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,SG,202148,9,3,6,161,33.3,23.799999999999997,8.7,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,-12,NA,-57.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,SH,202148,0,0,NA,15,NA,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,-1,NA,-100,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,SO,202148,12,0,12,434,0,0,2.5,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,6,NA,100,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,SZ,202148,0,0,NA,56,NA,NA,10.7,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,0,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
