date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202135,AG,age,492,indication,694072,56397,8.1,0.088,8.799999999999999,15.2,0.07,8.13,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202136,AG,age,575,indication,694072,56972,8.2,0.095,9.5,15.1,0.08,8.21,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202137,AG,age,678,indication,694072,57650,8.3,0.09,9,15,0.1,8.31,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202138,AG,age,983,indication,694072,58633,8.4,0.109,10.9,14.899999999999999,0.14,8.45,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202139,AG,age,1028,indication,694072,59661,8.6,0.106,10.6,14.799999999999999,0.15,8.6,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202140,AG,age,796,indication,694072,60457,8.7,0.08,8,14.6,0.11,8.71,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202141,AG,age,1121,indication,694072,61578,8.9,0.106,10.6,14.499999999999998,0.16,8.87,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202142,AG,age,1013,indication,694072,62591,9,0.128,12.8,14.499999999999998,0.15,9.02,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202143,AG,age,770,indication,694072,63361,9.1,0.134,13.4,14.499999999999998,0.11,9.13,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202144,AG,age,357,indication,694072,63718,9.2,0.097,9.700000000000001,14.399999999999999,0.05,9.18,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202145,AG,age,374,indication,694072,64092,9.2,0.126,12.6,14.399999999999999,0.05,9.23,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202146,AG,age,221,indication,694072,64313,9.3,0.086,8.6,14.399999999999999,0.03,9.27,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202147,AG,age,252,indication,694072,64565,9.3,0.103,10.299999999999999,14.299999999999999,0.04,9.3,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202148,AG,age,222,indication,694072,64787,9.3,0.088,8.799999999999999,14.299999999999999,0.03,9.33,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202149,AG,age,227,indication,694072,65014,9.4,0.073,7.3,14.299999999999999,0.03,9.37,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202052,AG,chronic_disease,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202053,AG,chronic_disease,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202101,AG,chronic_disease,1,indication,694072,1,0,0.25,25,14.299999999999999,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202102,AG,chronic_disease,1,indication,694072,2,0,0.071,7.1,9.5,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202103,AG,chronic_disease,9,indication,694072,11,0,0.055,5.5,5.8999999999999995,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202104,AG,chronic_disease,140,indication,694072,151,0,0.145,14.499999999999998,13.100000000000001,0.02,0.02,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202105,AG,chronic_disease,422,indication,694072,573,0.1,0.163,16.3,15.299999999999999,0.06,0.08,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202106,AG,chronic_disease,401,indication,694072,974,0.1,0.157,15.7,15.5,0.06,0.14,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202107,AG,chronic_disease,977,indication,694072,1951,0.3,0.185,18.5,16.8,0.14,0.28,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202108,AG,chronic_disease,1452,indication,694072,3403,0.5,0.223,22.3,18.8,0.21,0.49,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202109,AG,chronic_disease,1589,indication,694072,4992,0.7,0.267,26.700000000000003,20.7,0.23,0.72,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202110,AG,chronic_disease,1240,indication,694072,6232,0.9,0.264,26.400000000000002,21.7,0.18,0.9,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202111,AG,chronic_disease,1501,indication,694072,7733,1.1,0.29,28.999999999999996,22.8,0.22,1.11,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202112,AG,chronic_disease,2535,indication,694072,10268,1.5,0.3,30,24.2,0.37,1.48,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202113,AG,chronic_disease,1853,indication,694072,12121,1.7,0.291,29.099999999999998,24.9,0.27,1.75,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202114,AG,chronic_disease,2935,indication,694072,15056,2.2,0.329,32.9,26.1,0.42,2.17,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202115,AG,chronic_disease,2159,indication,694072,17215,2.5,0.335,33.5,26.900000000000002,0.31,2.48,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202116,AG,chronic_disease,2970,indication,694072,20185,2.9,0.36,36,27.900000000000002,0.43,2.91,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202117,AG,chronic_disease,3174,indication,694072,23359,3.4,0.325,32.5,28.4,0.46,3.37,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202118,AG,chronic_disease,4052,indication,694072,27411,3.9,0.333,33.300000000000004,29.099999999999998,0.58,3.95,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202119,AG,chronic_disease,4206,indication,694072,31617,4.6,0.292,29.2,29.099999999999998,0.61,4.56,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202120,AG,chronic_disease,7578,indication,694072,39195,5.6,0.353,35.3,30.099999999999998,1.09,5.65,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202121,AG,chronic_disease,5193,indication,694072,44388,6.4,0.298,29.799999999999997,30.099999999999998,0.75,6.4,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202122,AG,chronic_disease,5844,indication,694072,50232,7.2,0.224,22.400000000000002,28.9,0.84,7.24,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202123,AG,chronic_disease,3607,indication,694072,53839,7.8,0.186,18.6,27.900000000000002,0.52,7.76,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202124,AG,chronic_disease,2548,indication,694072,56387,8.1,0.143,14.299999999999999,26.700000000000003,0.37,8.12,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202125,AG,chronic_disease,2077,indication,694072,58464,8.4,0.087,8.7,24.9,0.3,8.42,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202126,AG,chronic_disease,1533,indication,694072,59997,8.6,0.058,5.800000000000001,23,0.22,8.64,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202127,AG,chronic_disease,1403,indication,694072,61400,8.8,0.045,4.5,21,0.2,8.85,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202128,AG,chronic_disease,1211,indication,694072,62611,9,0.05,5,19.8,0.17,9.02,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202129,AG,chronic_disease,914,indication,694072,63525,9.2,0.062,6.2,19.2,0.13,9.15,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202130,AG,chronic_disease,568,indication,694072,64093,9.2,0.058,5.800000000000001,18.8,0.08,9.23,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202131,AG,chronic_disease,416,indication,694072,64509,9.3,0.059,5.8999999999999995,18.5,0.06,9.29,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202132,AG,chronic_disease,443,indication,694072,64952,9.4,0.069,6.9,18.3,0.06,9.36,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202133,AG,chronic_disease,370,indication,694072,65322,9.4,0.068,6.800000000000001,18.099999999999998,0.05,9.41,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202134,AG,chronic_disease,421,indication,694072,65743,9.5,0.069,6.9,17.9,0.06,9.47,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202135,AG,chronic_disease,409,indication,694072,66152,9.5,0.073,7.3,17.8,0.06,9.53,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202136,AG,chronic_disease,418,indication,694072,66570,9.6,0.069,6.9,17.599999999999998,0.06,9.59,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202137,AG,chronic_disease,461,indication,694072,67031,9.7,0.061,6.1,17.4,0.07,9.66,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202138,AG,chronic_disease,550,indication,694072,67581,9.7,0.061,6.1,17.1,0.08,9.74,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202139,AG,chronic_disease,661,indication,694072,68242,9.8,0.068,6.800000000000001,16.900000000000002,0.1,9.83,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202140,AG,chronic_disease,740,indication,694072,68982,9.9,0.074,7.3999999999999995,16.7,0.11,9.94,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202141,AG,chronic_disease,724,indication,694072,69706,10,0.068,6.800000000000001,16.400000000000002,0.1,10.04,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202142,AG,chronic_disease,535,indication,694072,70241,10.1,0.068,6.800000000000001,16.2,0.08,10.12,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202143,AG,chronic_disease,357,indication,694072,70598,10.2,0.062,6.2,16.1,0.05,10.17,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202144,AG,chronic_disease,246,indication,694072,70844,10.2,0.067,6.7,16,0.04,10.21,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202145,AG,chronic_disease,205,indication,694072,71049,10.2,0.069,6.9,16,0.03,10.24,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202146,AG,chronic_disease,217,indication,694072,71266,10.3,0.085,8.5,15.9,0.03,10.27,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202147,AG,chronic_disease,169,indication,694072,71435,10.3,0.069,6.9,15.9,0.02,10.29,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202148,AG,chronic_disease,225,indication,694072,71660,10.3,0.089,8.9,15.8,0.03,10.32,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202149,AG,chronic_disease,218,indication,694072,71878,10.4,0.07,7.000000000000001,15.8,0.03,10.36,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202052,AG,med_prof,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202053,AG,med_prof,2,indication,694072,2,0,0.667,66.7,66.7,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202101,AG,med_prof,0,indication,694072,2,0,0,0,28.599999999999998,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202102,AG,med_prof,9,indication,694072,11,0,0.643,64.3,52.400000000000006,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
